Street,Street condition score,Group,Ward
PADDOCK WAY,73.96,Poor (<75),Acomb Ward
PLANTATION DRIVE,78.19,Fair (75-89),Acomb Ward
PLANTATION GROVE,56.03,Poor (<75),Acomb Ward
PRESTWICK COURT,87.13,Fair (75-89),Acomb Ward
PRINCESS DRIVE,86.52,Fair (75-89),Acomb Ward
PRIORS WALK,21.58,Poor (<75),Acomb Ward
PYRAMID COURT,100.00,Excellent (95-100),Acomb Ward
RAVEN GROVE,72.62,Poor (<75),Acomb Ward
REGENT MEWS,86.34,Fair (75-89),Acomb Ward
ROSE AVENUE,97.39,Excellent (95-100),Acomb Ward
ROSEDALE AVENUE,68.71,Poor (<75),Acomb Ward
ROSETTA WAY,85.83,Fair (75-89),Acomb Ward
RUNSWICK AVENUE,93.58,Good (90-94),Acomb Ward
SHERWOOD GROVE,67.28,Poor (<75),Acomb Ward
SHERWOOD GROVE,76.20,Fair (75-89),Acomb Ward
SHIRLEY AVENUE,69.36,Poor (<75),Acomb Ward
SITWELL GROVE,97.33,Excellent (95-100),Acomb Ward
SMEATON GROVE,57.31,Poor (<75),Acomb Ward
SPRINGWOOD GROVE,81.51,Fair (75-89),Acomb Ward
STAITHES CLOSE,89.99,Fair (75-89),Acomb Ward
SUNNINGDALE CLOSE,80.03,Fair (75-89),Acomb Ward
TEN THORN LANE,84.61,Fair (75-89),Acomb Ward
THE PADDOCK,29.09,Poor (<75),Acomb Ward
TOSTIG AVENUE,64.77,Poor (<75),Acomb Ward
TURNBERRY DRIVE,86.89,Fair (75-89),Acomb Ward
VIKING ROAD,47.70,Poor (<75),Acomb Ward
WELTON AVENUE,0.00,Poor (<75),Acomb Ward
WETHERBY ROAD,73.46,Poor (<75),Acomb Ward
WHEATLANDS GROVE,30.43,Poor (<75),Acomb Ward
WOODLEA AVENUE,93.17,Good (90-94),Acomb Ward
WOODLEA BANK,81.65,Fair (75-89),Acomb Ward
WOODLEA CRESCENT,86.48,Fair (75-89),Acomb Ward
WOODLEA GROVE,70.04,Poor (<75),Acomb Ward
YORK ROAD,91.28,Good (90-94),Acomb Ward
ACASTER LANE,75.16,Fair (75-89),Bishopthorpe Ward
ACASTER MALBIS TO PARISH BOUNDARY,77.77,Fair (75-89),Bishopthorpe Ward
APPLETON COURT,98.44,Excellent (95-100),Bishopthorpe Ward
APPLETON ROAD,95.60,Excellent (95-100),Bishopthorpe Ward
BEECH AVENUE,84.76,Fair (75-89),Bishopthorpe Ward
BEECH COURT,87.19,Fair (75-89),Bishopthorpe Ward
BEECHLANDS TO PARISH BOUNDARY,65.92,Poor (<75),Bishopthorpe Ward
BISHOPTHORPE ROAD,95.20,Excellent (95-100),Bishopthorpe Ward
BISHOPTHORPE TO PARISH BOUNDARY,84.95,Fair (75-89),Bishopthorpe Ward
BRIDGE ROAD,55.01,Poor (<75),Bishopthorpe Ward
BROAD LANE,48.48,Poor (<75),Bishopthorpe Ward
BROAD LANE TO TEMPLE LANE,85.53,Fair (75-89),Bishopthorpe Ward
CANONS COURT,97.38,Excellent (95-100),Bishopthorpe Ward
CHANTRY LANE,95.23,Excellent (95-100),Bishopthorpe Ward
CHURCH LANE,66.96,Poor (<75),Bishopthorpe Ward
CODA AVENUE,26.33,Poor (<75),Bishopthorpe Ward
COGGAN WAY,46.67,Poor (<75),Bishopthorpe Ward
COPMANTHORPE LANE,59.75,Poor (<75),Bishopthorpe Ward
COWPER LANE,63.07,Poor (<75),Bishopthorpe Ward
CROFT COURT,70.70,Poor (<75),Bishopthorpe Ward
DARLING LANE,77.06,Fair (75-89),Bishopthorpe Ward
DE GREY PLACE,84.89,Fair (75-89),Bishopthorpe Ward
DRUMMOND VIEW,38.40,Poor (<75),Bishopthorpe Ward
FERRY LANE,10.02,Poor (<75),Bishopthorpe Ward
FOSS FIELD LANE,65.15,Poor (<75),Bishopthorpe Ward
GARBETT WAY,64.82,Poor (<75),Bishopthorpe Ward
HARCOURT CLOSE,99.22,Excellent (95-100),Bishopthorpe Ward
HAULING LANE,88.33,Fair (75-89),Bishopthorpe Ward
INTAKE LANE,53.97,Poor (<75),Bishopthorpe Ward
KEBLE CLOSE,87.47,Fair (75-89),Bishopthorpe Ward
KEBLE DRIVE,59.97,Poor (<75),Bishopthorpe Ward
KEBLE GARDENS,41.38,Poor (<75),Bishopthorpe Ward
KEBLE PARK CRESCENT,79.27,Fair (75-89),Bishopthorpe Ward
KEBLE PARK NORTH,51.58,Poor (<75),Bishopthorpe Ward
KEBLE PARK SOUTH,72.43,Poor (<75),Bishopthorpe Ward
KIRKWELL,88.88,Fair (75-89),Bishopthorpe Ward
LAKESIDE,90.98,Good (90-94),Bishopthorpe Ward
LAMPLUGH CRESCENT,70.78,Poor (<75),Bishopthorpe Ward
LANG ROAD,73.75,Poor (<75),Bishopthorpe Ward
MACLAGAN ROAD,52.81,Poor (<75),Bishopthorpe Ward
MAIN STREET,73.70,Poor (<75),Bishopthorpe Ward
MAPLE AVENUE,66.41,Poor (<75),Bishopthorpe Ward
MELTON DRIVE,76.97,Fair (75-89),Bishopthorpe Ward
MIDDLETHORPE,34.02,Poor (<75),Bishopthorpe Ward
MILL LANE,94.07,Good (90-94),Bishopthorpe Ward
MONTAGUE ROAD,83.78,Fair (75-89),Bishopthorpe Ward
MOOR END,64.87,Poor (<75),Bishopthorpe Ward
MOOR LANE,88.93,Fair (75-89),Bishopthorpe Ward
MOOR LANE TO NORTHMOOR GATE,80.06,Fair (75-89),Bishopthorpe Ward
MYRTLE AVENUE,35.05,Poor (<75),Bishopthorpe Ward
NEVILLE DRIVE,56.41,Poor (<75),Bishopthorpe Ward
NEWLANDS ROAD,90.52,Good (90-94),Bishopthorpe Ward
RAMSEY AVENUE,96.09,Excellent (95-100),Bishopthorpe Ward
SARGENT AVENUE,77.37,Fair (75-89),Bishopthorpe Ward
SCHOOL LANE,79.81,Fair (75-89),Bishopthorpe Ward
SIM BALK LANE,83.12,Fair (75-89),Bishopthorpe Ward
SIM BALK LANE,84.24,Fair (75-89),Bishopthorpe Ward
TADCASTER ROAD,35.67,Poor (<75),Bishopthorpe Ward
TEMPLE LANE,87.01,Fair (75-89),Bishopthorpe Ward
TEMPLE ROAD,50.65,Poor (<75),Bishopthorpe Ward
THE COPPICE,80.53,Fair (75-89),Bishopthorpe Ward
THE COURTYARD,51.85,Poor (<75),Bishopthorpe Ward
THE ORCHARD,99.01,Excellent (95-100),Bishopthorpe Ward
VERNON CLOSE,74.63,Poor (<75),Bishopthorpe Ward
WOLSEY DRIVE,46.43,Poor (<75),Bishopthorpe Ward
ABBEY STREET,85.41,Fair (75-89),Clifton Ward
ALLAN STREET,4.47,Poor (<75),Clifton Ward
ALMERY TERRACE,87.55,Fair (75-89),Clifton Ward
ASHTON AVENUE,44.98,Poor (<75),Clifton Ward
AVENUE ROAD,49.91,Poor (<75),Clifton Ward
AVENUE TERRACE,25.10,Poor (<75),Clifton Ward
BACK LANE FROM ADJACENT TO 41 TO REAR OF 2 NORTH PARADE,87.16,Fair (75-89),Clifton Ward
BAKER STREET,34.89,Poor (<75),Clifton Ward
BEDE AVENUE,69.34,Poor (<75),Clifton Ward
BOOTHAM,83.80,Fair (75-89),Clifton Ward
BOOTHAM CRESCENT,63.36,Poor (<75),Clifton Ward
BOOTHAM TERRACE,23.96,Poor (<75),Clifton Ward
BROMPTON ROAD,81.70,Fair (75-89),Clifton Ward
BURDYKE AVENUE,95.80,Excellent (95-100),Clifton Ward
BURRILL AVENUE,28.74,Poor (<75),Clifton Ward
BURTON AVENUE,94.48,Good (90-94),Clifton Ward
BURTON COURT,79.79,Fair (75-89),Clifton Ward
BURTON GREEN,85.84,Fair (75-89),Clifton Ward
BURTON STONE LANE,84.27,Fair (75-89),Clifton Ward
CHURCH GARDENS,96.54,Excellent (95-100),Clifton Ward
CLIFTON,95.59,Excellent (95-100),Clifton Ward
CLIFTON DALE,53.92,Poor (<75),Clifton Ward
CLIFTON GREEN,85.92,Fair (75-89),Clifton Ward
CLIFTON PLACE,8.87,Poor (<75),Clifton Ward
COMPTON STREET,49.45,Poor (<75),Clifton Ward
CRICHTON AVENUE,83.16,Fair (75-89),Clifton Ward
CROMBIE AVENUE,48.51,Poor (<75),Clifton Ward
CROMER STREET,68.05,Poor (<75),Clifton Ward
EVELYN CRESCENT,36.24,Poor (<75),Clifton Ward
FALSGRAVE CRESCENT,74.38,Poor (<75),Clifton Ward
FIELD VIEW,96.10,Excellent (95-100),Clifton Ward
FILEY TERRACE,81.80,Fair (75-89),Clifton Ward
FOOTPATH FROM ADJACENT TO 1 TO REAR OF 35 QUEEN ANNES ROAD,94.16,Good (90-94),Clifton Ward
GARTH TERRACE,45.06,Poor (<75),Clifton Ward
GLENCOE STREET,78.66,Fair (75-89),Clifton Ward
GOVERNMENT HOUSE ROAD,88.84,Fair (75-89),Clifton Ward
GREENCLIFFE DRIVE,27.91,Poor (<75),Clifton Ward
GROSVENOR ROAD,41.00,Poor (<75),Clifton Ward
GROSVENOR TERRACE,78.36,Fair (75-89),Clifton Ward
GROVE VIEW,39.14,Poor (<75),Clifton Ward
HAUGHTON ROAD,49.00,Poor (<75),Clifton Ward
HIGHCLIFFE COURT,87.13,Fair (75-89),Clifton Ward
HILLSBOROUGH TERRACE,43.61,Poor (<75),Clifton Ward
HORNER STREET,55.86,Poor (<75),Clifton Ward
HUDSON CRESCENT,47.04,Poor (<75),Clifton Ward
HUDSON STREET,79.46,Fair (75-89),Clifton Ward
INGRAM AVENUE,62.85,Poor (<75),Clifton Ward
INTAKE AVENUE,56.48,Poor (<75),Clifton Ward
KINGSWAY NORTH,72.80,Poor (<75),Clifton Ward
LADY ROAD,80.99,Fair (75-89),Clifton Ward
LINK AVENUE,99.51,Excellent (95-100),Clifton Ward
LISTER WAY,44.20,Poor (<75),Clifton Ward
LITTLE AVENUE,7.55,Poor (<75),Clifton Ward
LONGFIELD TERRACE,84.59,Fair (75-89),Clifton Ward
LUCAS AVENUE,80.08,Fair (75-89),Clifton Ward
LUMLEY ROAD,67.62,Poor (<75),Clifton Ward
MARJORIE WAITE COURT,69.29,Poor (<75),Clifton Ward
NEWBOROUGH STREET,29.97,Poor (<75),Clifton Ward
NORTH GRANGE COURT,82.77,Fair (75-89),Clifton Ward
NORTH PARADE,42.95,Poor (<75),Clifton Ward
PEMBROKE STREET,65.53,Poor (<75),Clifton Ward
PETER HILL DRIVE,71.64,Poor (<75),Clifton Ward
PETERSWAY,26.86,Poor (<75),Clifton Ward
PINFOLD COURT,79.49,Fair (75-89),Clifton Ward
QUEEN ANNES ROAD,95.80,Excellent (95-100),Clifton Ward
RATCLIFFE STREET,64.91,Poor (<75),Clifton Ward
RAWCLIFFE LANE,67.18,Poor (<75),Clifton Ward
ROSSLYN STREET,47.38,Poor (<75),Clifton Ward
ROWNTREE AVENUE,70.08,Poor (<75),Clifton Ward
SCARBOROUGH TERRACE,71.32,Poor (<75),Clifton Ward
SHIPTON STREET,95.12,Excellent (95-100),Clifton Ward
SKELTON COURT,72.99,Poor (<75),Clifton Ward
SPALDING AVENUE,62.23,Poor (<75),Clifton Ward
ST LUKES GROVE,80.20,Fair (75-89),Clifton Ward
ST OLAVES ROAD,55.09,Poor (<75),Clifton Ward
ST PETERS GROVE,64.53,Poor (<75),Clifton Ward
ST PHILIPS GROVE,84.75,Fair (75-89),Clifton Ward
SURTEES STREET,63.83,Poor (<75),Clifton Ward
SUTTON WAY,32.75,Poor (<75),Clifton Ward
SYCAMORE PLACE,76.81,Fair (75-89),Clifton Ward
SYCAMORE TERRACE,89.52,Fair (75-89),Clifton Ward
TENNYSON AVENUE,82.91,Fair (75-89),Clifton Ward
THE AVENUE,43.50,Poor (<75),Clifton Ward
UPPER NEWBOROUGH STREET,46.27,Poor (<75),Clifton Ward
WATER END,83.03,Fair (75-89),Clifton Ward
WATER END,83.43,Fair (75-89),Clifton Ward
WATER LANE,98.19,Excellent (95-100),Clifton Ward
WAVENEY GROVE,55.33,Poor (<75),Clifton Ward
WESTMINSTER ROAD,30.26,Poor (<75),Clifton Ward
WHARTON AVENUE,88.54,Fair (75-89),Clifton Ward
WILBERFORCE AVENUE,79.15,Fair (75-89),Clifton Ward
BACK LANE,70.77,Poor (<75),Copmanthorpe Ward
BARBERS DRIVE,97.27,Excellent (95-100),Copmanthorpe Ward
BARNFIELD WAY,78.23,Fair (75-89),Copmanthorpe Ward
BARONS CRESCENT,73.00,Poor (<75),Copmanthorpe Ward
BELLMANS CROFT,88.68,Fair (75-89),Copmanthorpe Ward
BOWYERS CLOSE,94.65,Good (90-94),Copmanthorpe Ward
CHURCH STREET,90.24,Good (90-94),Copmanthorpe Ward
COLLEGE ROAD,63.94,Poor (<75),Copmanthorpe Ward
COOPERS DRIVE,87.99,Fair (75-89),Copmanthorpe Ward
CROFT FARM CLOSE,100.00,Excellent (95-100),Copmanthorpe Ward
DEACONS COURT,78.12,Fair (75-89),Copmanthorpe Ward
DRAPERS CROFT,98.74,Excellent (95-100),Copmanthorpe Ward
DROME ROAD,67.61,Poor (<75),Copmanthorpe Ward
DYKES LANE,91.10,Good (90-94),Copmanthorpe Ward
FABER CLOSE,69.74,Poor (<75),Copmanthorpe Ward
FAIRFAX CROFT,91.61,Good (90-94),Copmanthorpe Ward
FARMERS WAY,82.57,Fair (75-89),Copmanthorpe Ward
FARRIERS CROFT,97.80,Excellent (95-100),Copmanthorpe Ward
FLAXMAN CROFT,87.96,Fair (75-89),Copmanthorpe Ward
FLETCHERS CROFT,74.91,Poor (<75),Copmanthorpe Ward
GARDENERS CLOSE,98.41,Excellent (95-100),Copmanthorpe Ward
HALLCROFT LANE,94.90,Good (90-94),Copmanthorpe Ward
HALLCROFT LANE TO PARISH BOUNDARY,62.08,Poor (<75),Copmanthorpe Ward
HATTERS CLOSE,99.10,Excellent (95-100),Copmanthorpe Ward
HERDSMAN DRIVE,91.50,Good (90-94),Copmanthorpe Ward
HOBSON CLOSE,92.97,Good (90-94),Copmanthorpe Ward
HOMEFIELD CLOSE,85.95,Fair (75-89),Copmanthorpe Ward
HORSEMAN AVENUE,86.87,Fair (75-89),Copmanthorpe Ward
HORSEMAN CLOSE,96.29,Excellent (95-100),Copmanthorpe Ward
HORSEMAN DRIVE,54.44,Poor (<75),Copmanthorpe Ward
HORSEMAN LANE,90.79,Good (90-94),Copmanthorpe Ward
LARKFIELD CLOSE,99.95,Excellent (95-100),Copmanthorpe Ward
LEADLEY CROFT,88.72,Fair (75-89),Copmanthorpe Ward
LEARMANS WAY,98.05,Excellent (95-100),Copmanthorpe Ward
LORINERS DRIVE,34.31,Poor (<75),Copmanthorpe Ward
LOW GREEN,94.61,Good (90-94),Copmanthorpe Ward
LYNWOOD AVENUE,66.75,Poor (<75),Copmanthorpe Ward
LYNWOOD VIEW,64.14,Poor (<75),Copmanthorpe Ward
MAIN STREET,92.62,Good (90-94),Copmanthorpe Ward
MALBYS GROVE,90.95,Good (90-94),Copmanthorpe Ward
MANOR FARM CLOSE,94.85,Good (90-94),Copmanthorpe Ward
MANOR HEATH,58.30,Poor (<75),Copmanthorpe Ward
MERCHANT WAY,60.84,Poor (<75),Copmanthorpe Ward
MILLERS CROFT,84.18,Fair (75-89),Copmanthorpe Ward
MOOR LANE,52.48,Poor (<75),Copmanthorpe Ward
MOORLAND GARDENS,88.92,Fair (75-89),Copmanthorpe Ward
NEW MOOR LANE,67.39,Poor (<75),Copmanthorpe Ward
ORCHARD GARTH,94.92,Good (90-94),Copmanthorpe Ward
OSTLERS CLOSE,79.41,Fair (75-89),Copmanthorpe Ward
PADDOCK CLOSE,88.17,Fair (75-89),Copmanthorpe Ward
PIKE HILLS MOUNT,83.65,Fair (75-89),Copmanthorpe Ward
PLOUGHMANS CLOSE,73.44,Poor (<75),Copmanthorpe Ward
POTTERS DRIVE,95.42,Excellent (95-100),Copmanthorpe Ward
REYGATE GROVE,91.16,Good (90-94),Copmanthorpe Ward
ROPERS COURT,95.15,Excellent (95-100),Copmanthorpe Ward
RUTLAND CLOSE,92.37,Good (90-94),Copmanthorpe Ward
SADDLERS CLOSE,92.53,Good (90-94),Copmanthorpe Ward
SAWYERS CRESCENT,88.80,Fair (75-89),Copmanthorpe Ward
SCHOOL LANE,90.29,Good (90-94),Copmanthorpe Ward
ST GILES WAY,87.40,Fair (75-89),Copmanthorpe Ward
ST NICHOLAS CLOSE,100.00,Excellent (95-100),Copmanthorpe Ward
ST NICHOLAS CRESCENT,77.71,Fair (75-89),Copmanthorpe Ward
ST NICHOLAS ROAD,88.70,Fair (75-89),Copmanthorpe Ward
STATION ROAD,68.95,Poor (<75),Copmanthorpe Ward
SUTOR CLOSE,89.67,Fair (75-89),Copmanthorpe Ward
TADCASTER ROAD,89.66,Fair (75-89),Copmanthorpe Ward
TADCASTER ROAD,90.00,Good (90-94),Copmanthorpe Ward
TEMPLE GARTH,57.62,Poor (<75),Copmanthorpe Ward
TEMPLE LANE,67.50,Poor (<75),Copmanthorpe Ward
TEMPLE LANE,56.35,Poor (<75),Copmanthorpe Ward
THATCHERS CROFT,93.35,Good (90-94),Copmanthorpe Ward
THE LINK,69.44,Poor (<75),Copmanthorpe Ward
TOP LANE,94.07,Good (90-94),Copmanthorpe Ward
VAVASOUR COURT,89.18,Fair (75-89),Copmanthorpe Ward
VICARS CLOSE,82.80,Fair (75-89),Copmanthorpe Ward
WAGGONERS DRIVE,77.15,Fair (75-89),Copmanthorpe Ward
WAINERS CLOSE,94.62,Good (90-94),Copmanthorpe Ward
WATTLERS CLOSE,93.86,Good (90-94),Copmanthorpe Ward
WEAVERS CLOSE,89.43,Fair (75-89),Copmanthorpe Ward
WEAVERS PARK,95.36,Excellent (95-100),Copmanthorpe Ward
WHEELWRIGHT CLOSE,93.02,Good (90-94),Copmanthorpe Ward
WHISTLER CLOSE,98.27,Excellent (95-100),Copmanthorpe Ward
WILSTROP FARM ROAD,80.41,Fair (75-89),Copmanthorpe Ward
ACADEMY DRIVE,96.71,Excellent (95-100),Dringhouses & Woodthorpe Ward
ACOMB WOOD CLOSE,75.03,Fair (75-89),Dringhouses & Woodthorpe Ward
ACOMB WOOD DRIVE,29.89,Poor (<75),Dringhouses & Woodthorpe Ward
ACORN WAY,70.31,Poor (<75),Dringhouses & Woodthorpe Ward
AINSTY AVENUE,72.74,Poor (<75),Dringhouses & Woodthorpe Ward
AINSTY GROVE,96.97,Excellent (95-100),Dringhouses & Woodthorpe Ward
ALDERSYDE,52.47,Poor (<75),Dringhouses & Woodthorpe Ward
ALLENDALE,89.96,Fair (75-89),Dringhouses & Woodthorpe Ward
ALNESS DRIVE,68.76,Poor (<75),Dringhouses & Woodthorpe Ward
ANNAN CLOSE,75.58,Fair (75-89),Dringhouses & Woodthorpe Ward
ARUNDEL GROVE,93.18,Good (90-94),Dringhouses & Woodthorpe Ward
ASHBOURNE WAY,78.53,Fair (75-89),Dringhouses & Woodthorpe Ward
ASHMEADE CLOSE,65.03,Poor (<75),Dringhouses & Woodthorpe Ward
ASKHAM BRYAN LANE,94.52,Good (90-94),Dringhouses & Woodthorpe Ward
ASKHAM LANE,96.74,Excellent (95-100),Dringhouses & Woodthorpe Ward
BANNISDALE,35.22,Poor (<75),Dringhouses & Woodthorpe Ward
BELLHOUSE WAY,84.59,Fair (75-89),Dringhouses & Woodthorpe Ward
BRACKEN ROAD,96.38,Excellent (95-100),Dringhouses & Woodthorpe Ward
BRAMBLE DENE,96.34,Excellent (95-100),Dringhouses & Woodthorpe Ward
BREARY CLOSE,77.44,Fair (75-89),Dringhouses & Woodthorpe Ward
BURNS COURT,85.62,Fair (75-89),Dringhouses & Woodthorpe Ward
BURSARY COURT,91.41,Good (90-94),Dringhouses & Woodthorpe Ward
CAIRNBORROW,73.01,Poor (<75),Dringhouses & Woodthorpe Ward
CAR PARK ASKHAM BAR FROM MOOR LANE ROUNDABOUT,46.00,Poor (<75),Dringhouses & Woodthorpe Ward
CARRFIELD,86.92,Fair (75-89),Dringhouses & Woodthorpe Ward
CARRON CRESCENT,76.45,Fair (75-89),Dringhouses & Woodthorpe Ward
CHALFONTS,86.86,Fair (75-89),Dringhouses & Woodthorpe Ward
CHALONERS CRESCENT,49.92,Poor (<75),Dringhouses & Woodthorpe Ward
CHALONERS ROAD,71.68,Poor (<75),Dringhouses & Woodthorpe Ward
CHANTRY CLOSE,79.30,Fair (75-89),Dringhouses & Woodthorpe Ward
CHAPMANS COURT,72.19,Poor (<75),Dringhouses & Woodthorpe Ward
CHASE SIDE COURT,54.19,Poor (<75),Dringhouses & Woodthorpe Ward
CHERRY LANE,73.19,Poor (<75),Dringhouses & Woodthorpe Ward
CHESSINGHAM GARDENS,61.58,Poor (<75),Dringhouses & Woodthorpe Ward
COESIDE,84.09,Fair (75-89),Dringhouses & Woodthorpe Ward
COLLEGE COURT,85.53,Fair (75-89),Dringhouses & Woodthorpe Ward
CRUMMOCK,86.35,Fair (75-89),Dringhouses & Woodthorpe Ward
DALMALLY CLOSE,75.36,Fair (75-89),Dringhouses & Woodthorpe Ward
DEE CLOSE,75.91,Fair (75-89),Dringhouses & Woodthorpe Ward
DEEPDALE,78.32,Fair (75-89),Dringhouses & Woodthorpe Ward
DEVERON WAY,82.60,Fair (75-89),Dringhouses & Woodthorpe Ward
DON AVENUE,97.75,Excellent (95-100),Dringhouses & Woodthorpe Ward
DRINGFIELD CLOSE,85.37,Fair (75-89),Dringhouses & Woodthorpe Ward
DRINGTHORPE ROAD,58.09,Poor (<75),Dringhouses & Woodthorpe Ward
EASON ROAD,52.99,Poor (<75),Dringhouses & Woodthorpe Ward
EASON VIEW,87.27,Fair (75-89),Dringhouses & Woodthorpe Ward
EDEN CLOSE,80.88,Fair (75-89),Dringhouses & Woodthorpe Ward
ETIVE PLACE,70.00,Poor (<75),Dringhouses & Woodthorpe Ward
FARMLANDS ROAD,82.05,Fair (75-89),Dringhouses & Woodthorpe Ward
FOXTON,84.08,Fair (75-89),Dringhouses & Woodthorpe Ward
GANTON PLACE,63.51,Poor (<75),Dringhouses & Woodthorpe Ward
GIRVAN CLOSE,73.86,Poor (<75),Dringhouses & Woodthorpe Ward
GLENRIDDING,93.95,Good (90-94),Dringhouses & Woodthorpe Ward
GOODWOOD GROVE,91.54,Good (90-94),Dringhouses & Woodthorpe Ward
GOWER ROAD,45.93,Poor (<75),Dringhouses & Woodthorpe Ward
GRASSHOLME,70.36,Poor (<75),Dringhouses & Woodthorpe Ward
HALLADALE CLOSE,81.83,Fair (75-89),Dringhouses & Woodthorpe Ward
HELMSDALE,84.27,Fair (75-89),Dringhouses & Woodthorpe Ward
HERDSMAN ROAD,75.78,Fair (75-89),Dringhouses & Woodthorpe Ward
HERON AVENUE,83.02,Fair (75-89),Dringhouses & Woodthorpe Ward
HIGHMOOR CLOSE,95.79,Excellent (95-100),Dringhouses & Woodthorpe Ward
HIGHMOOR ROAD,43.35,Poor (<75),Dringhouses & Woodthorpe Ward
HILLCREST GARDENS,82.14,Fair (75-89),Dringhouses & Woodthorpe Ward
HOB MOOR TERRACE,3.70,Poor (<75),Dringhouses & Woodthorpe Ward
HUNTERS WAY,92.89,Good (90-94),Dringhouses & Woodthorpe Ward
JERVIS ROAD,76.25,Fair (75-89),Dringhouses & Woodthorpe Ward
KENSINGTON COURT,91.18,Good (90-94),Dringhouses & Woodthorpe Ward
KINBRACE DRIVE,79.36,Fair (75-89),Dringhouses & Woodthorpe Ward
LEESIDE,29.47,Poor (<75),Dringhouses & Woodthorpe Ward
LERECROFT ROAD,50.62,Poor (<75),Dringhouses & Woodthorpe Ward
LEVEN ROAD,72.48,Poor (<75),Dringhouses & Woodthorpe Ward
LINDALE,71.21,Poor (<75),Dringhouses & Woodthorpe Ward
LINGFIELD CRESCENT,94.74,Good (90-94),Dringhouses & Woodthorpe Ward
LOWICK,89.06,Fair (75-89),Dringhouses & Woodthorpe Ward
LYCETT ROAD,62.40,Poor (<75),Dringhouses & Woodthorpe Ward
MAYFIELD GROVE,30.74,Poor (<75),Dringhouses & Woodthorpe Ward
MEADOW COURT,84.53,Fair (75-89),Dringhouses & Woodthorpe Ward
MIDDLETHORPE DRIVE,40.78,Poor (<75),Dringhouses & Woodthorpe Ward
MIDDLETHORPE GROVE,91.20,Good (90-94),Dringhouses & Woodthorpe Ward
